Physique	67068:1 72934:1 
:	67068:1 67071:1 67387:1 67553:1 67557:1 67561:1 67794:1 67795:1 67799:1 67802:1 67803:1 67938:1 67939:1 67945:1 68275:1 68276:1 68278:1 68383:1 68386:1 68392:1 68638:1 68640:1 68644:1 68886:1 68889:1 69177:1 69178:1 69180:1 69182:1 69186:1 69533:1 69534:1 69535:1 69536:1 69541:1 69813:1 70162:1 70163:1 70170:1 70421:1 70424:1 70425:1 70428:1 70743:1 70749:1 70752:1 70753:1 70915:1 70916:1 70918:1 70921:1 71359:1 71361:1 71366:1 71614:1 71617:1 71621:1 71836:1 71838:1 71842:1 72114:1 72115:1 72117:1 72118:1 72122:1 72393:1 72395:1 72398:1 72399:1 72634:1 72934:1 72935:1 72939:1 73182:1 73183:1 73184:1 73185:1 73186:1 73430:1 73431:1 73433:1 73436:1 73437:1 73685:1 73689:1 73875:1 73876:1 73878:1 73879:1 73880:1 73881:1 74167:1 74168:1 74169:1 74170:1 74171:1 74173:1 74174:1 74175:1 74176:1 74449:1 74451:1 74453:1 74454:1 74455:1 74457:1 74746:1 74747:1 74748:1 74749:1 74752:1 75064:1 75065:1 75069:1 75458:1 75459:1 75461:1 75463:1 75465:1 75466:1 75790:1 75792:1 75793:1 75796:1 76206:1 76209:1 76211:1 76212:1 76507:1 76508:1 76509:1 76510:1 76511:1 76512:1 76513:1 76514:1 76515:1 
Mathias	67068:1 
Fink,	67068:1 
un	67068:1 67383:1 67555:1 67794:1 67797:1 67937:1 67941:1 67944:1 68279:1 68646:1 68883:1 69177:1 69184:1 69534:1 69536:1 69540:1 69812:1 69813:1 70164:2 70421:1 70915:2 70921:2 71615:1 71837:1 71842:1 72117:1 72119:1 72632:2 73185:2 73187:1 73189:1 73432:1 73683:2 73689:1 74450:1 74451:1 74455:1 75064:1 75457:1 75458:1 76509:1 76513:2 
bel	67068:1 
exemple	67068:1 
de	67068:1 67383:1 67386:1 67387:5 67389:3 67390:2 67391:3 67392:1 67556:1 67557:1 67558:2 67561:1 67799:2 67802:1 67804:2 67937:3 67939:1 67941:1 67942:1 67943:2 67945:2 67946:2 68275:3 68276:1 68277:2 68279:2 68385:2 68386:1 68389:1 68390:3 68392:2 68641:2 68643:1 68644:1 68646:1 68881:1 68883:1 68884:1 68885:2 68887:1 68888:1 68889:3 69177:1 69179:1 69181:2 69183:2 69184:2 69533:1 69535:2 69537:1 69538:1 69539:2 69542:1 69543:2 69811:1 69815:1 69817:2 69818:1 69821:1 70162:1 70163:1 70164:1 70165:1 70169:1 70170:1 70421:1 70425:1 70743:1 70745:3 70746:2 70747:1 70752:2 70915:2 70918:1 71358:2 71360:3 71361:3 71362:4 71363:2 71614:1 71615:2 71617:3 71619:2 71620:1 71838:2 71839:1 71841:1 71845:1 72115:2 72116:3 72117:1 72119:1 72122:1 72399:2 72630:4 72632:1 72635:1 72636:2 72933:1 72935:2 72936:1 72939:1 73182:2 73183:1 73185:3 73187:2 73189:2 73431:1 73434:1 73438:1 73686:2 73687:1 73875:1 73876:2 73878:2 73880:2 73884:1 74167:2 74169:1 74170:2 74171:1 74172:2 74173:3 74174:2 74176:3 74453:2 74455:1 74456:1 74457:2 74744:1 74745:2 74748:1 74749:1 74750:3 74751:1 74752:2 75063:2 75065:2 75068:3 75071:3 75457:1 75461:2 75462:1 75465:1 75466:1 75788:1 75792:2 76207:1 76208:1 76209:2 76507:2 76508:1 76509:4 76511:1 76514:1 76515:1 
chercheur	67068:1 73435:1 
qui	67068:1 67383:2 67391:1 67553:1 68273:1 68274:1 68279:2 69812:1 70747:1 72632:1 73189:1 73430:1 75458:1 
innove	67068:1 74455:1 75457:1 
Recherche	67071:1 69181:1 73690:1 74745:1 
pour	67071:1 67386:1 67388:1 67554:1 67555:1 67558:1 67796:1 67801:1 67804:1 67939:1 68273:1 68281:1 68283:1 68383:1 68385:1 68387:1 68391:1 68392:1 68640:1 68641:2 69177:1 69178:1 69179:1 69181:1 69533:1 69541:1 69811:1 69815:1 69816:1 70163:1 70164:1 70170:1 70425:1 70751:1 70753:1 71357:1 71366:1 71616:1 71618:1 71837:1 71841:1 71845:1 72116:1 72117:1 72118:1 72119:1 72393:1 72397:1 72398:1 72935:1 73183:1 73184:1 73186:1 73187:1 73435:1 73883:1 74170:1 74173:1 74450:1 74451:1 74452:1 74750:1 74752:1 75065:1 75066:1 75069:1 75070:1 75460:1 75788:1 75794:1 76213:1 76508:1 76509:1 76513:1 
l'environnement	67071:1 68275:1 70170:1 
AllEnvi	67071:1 
publie	67071:1 
son	67071:1 67795:1 68641:1 70163:1 70745:1 70915:1 71360:1 71362:1 71616:1 72396:1 72933:1 73437:1 73684:1 73687:1 75793:1 76211:1 
premier	67071:1 69818:1 70165:1 71358:1 72933:1 73433:1 74451:1 74747:1 
rapport	67071:1 69533:1 
Une	67383:1 67554:1 67558:1 67797:1 68273:1 68391:1 68887:1 69817:1 71842:1 72113:1 74750:1 74751:1 75070:1 76210:1 
médaille	67383:1 
l'innovation	67383:1 70752:1 72630:1 74167:1 74176:1 74748:1 75071:1 75465:1 75797:1 76507:1 
récompense	67383:1 
roboticien	67383:1 
ne	67383:2 
cesse	67383:1 
d'innover	67383:1 
Produire	67385:1 73684:1 
du	67385:3 67387:1 67553:1 67796:1 67799:2 67804:1 68277:1 68387:1 68388:1 68638:1 68639:1 68640:1 68645:1 68885:2 69533:1 69819:1 70162:1 70165:1 70168:1 70428:2 70749:1 70751:1 70914:1 70916:1 71839:1 71845:1 72114:1 72115:1 72120:1 72392:1 72393:1 72629:1 72933:2 73185:2 73188:1 73190:1 73435:1 73684:2 73691:1 74170:1 74449:1 74455:1 74744:1 74745:2 74746:1 74749:1 75065:1 75066:1 75461:1 75462:1 75463:1 75789:2 75796:1 76206:1 76208:1 76511:1 76512:1 76514:1 
biogaz	67385:1 
et	67385:1 67558:2 67561:1 67795:1 67803:1 67944:1 68275:1 68276:1 68384:1 68392:1 68393:2 68644:1 68881:2 68885:1 69183:1 69185:1 69534:2 69811:1 69813:2 69815:1 70166:1 70422:1 70423:2 70745:1 70747:2 70748:1 70919:1 70920:1 70923:2 71358:1 71360:1 71615:1 71617:2 71845:2 72116:2 72120:1 72392:2 72396:2 72399:2 72401:1 72630:1 72633:2 72937:2 72939:1 73689:1 73877:1 73879:1 73881:1 73882:1 73884:1 74167:1 74171:1 74174:1 74457:1 74745:1 75457:1 75461:1 75465:1 75788:1 75789:1 75793:1 76212:1 76507:1 76510:1 76511:1 76516:1 
absorber	67385:1 
CO2	67385:1 
grâce	67385:1 70423:1 72933:1 75068:1 75791:1 
